entry_date,exit_date,direction,entry_price,exit_price,shares,entry_notional,exit_notional,commission_paid,slippage_cost,gross_pnl,net_pnl,return_pct,holding_days
2011-04-18,2011-04-19,1,53.172573,53.8000865,1846.0,98156.569758,99314.95967899999,18.46,98.7360789999967,1158.3899209999984,1139.9299209999983,0.011613383839822819,1
2011-04-20,2011-04-21,-1,54.227872500000004,54.7283505,1831.0,99291.2345475,100207.60976549999,18.31,99.74921799999274,-916.375217999989,-934.6852179999889,-0.00941357232851047,1
2011-04-25,2011-04-26,-1,53.337318,52.63030199999999,1844.0,98354.01439200001,97050.276888,18.44,97.70249599997774,1303.7375040000186,1285.2975040000185,0.013068073651547496,1
2011-04-27,2011-04-28,1,53.8279005,53.501236,1851.0,99635.4438255,99030.787836,18.51,99.33298949999343,-604.6559894999995,-623.1659894999995,-0.0062544609184599295,1
2011-04-29,2011-05-02,-1,54.288842,52.5872805,1824.0,99022.847808,95919.199632,18.240000000000002,97.47182399999747,3103.648176000007,3085.408176000007,0.031158548196699495,1
2011-05-03,2011-05-04,-1,50.832571,51.005489999999995,2008.0,102071.802568,102419.02391999999,20.080000000000002,102.2453519999865,-347.22135199998627,-367.30135199998625,-0.0035984605224865206,1
2011-05-05,2011-05-06,-1,48.99948800000001,49.12655099999999,2076.0,101722.93708800002,101986.71987599999,20.76,101.8547879999785,-263.78278799996986,-284.54278799996985,-0.0027972333098661246,1
2011-05-09,2011-05-10,1,50.0179965,49.619178,2028.0,101436.496902,100627.692984,20.28,101.03191800000133,-808.8039180000089,-829.0839180000089,-0.008173428138010374,1
2011-05-11,2011-05-12,-1,47.951012500000004,47.745861,2098.0,100601.22422500001,100170.81637799999,20.98,100.38615299998641,430.4078470000138,409.4278470000138,0.004069809787645392,1
2011-05-13,2011-05-16,-1,47.314331,47.579778,2135.0,101016.09668500001,101582.82603,21.35,101.29934499999624,-566.7293449999886,-588.0793449999886,-0.005821639959360191,1
2011-05-17,2011-05-18,-1,48.003986000000005,48.401188499999996,2092.0,100424.33871200001,101255.28634199999,20.92,100.83962999997476,-830.9476299999826,-851.8676299999826,-0.008482681000698392,1
